pond_id,region,date_of_data_collection,enrollment_mechanism,added_by,property_area_in_acres,pond_area_in_acres,depth_in_meters,status,measurements,culture_change,equipment,existing_practices,notes_(existing_practices),fertilizers_used,feed_type,feed_source,feed_brand_or_name,fish_source_(e.g._hatchery_name),notes
ara2_32b91757,Eluru,08/29/2024,Organic,Praveen,5.0,3.65,1.5,Treatment,42,,1 water pump,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Cow manure",DORB,National supplier,,Local farmers,
ara2_00793177,Eluru,08/29/2024,Organic,Praveen,43.0,36.7,1.5,Treatment,77,,1 water pump,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Cow manure",DORB,National supplier,,Local farmers,
ara2_6af7067d,Eluru,08/29/2024,Organic,Praveen,35.0,31.0,1.5,Treatment,59,,1 water pump,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Cow manure",DORB,National supplier,,Local farmers,
ara2_0ac139b5,Eluru,08/29/2024,Organic,Praveen,46.0,37.0,1.5,Treatment,58,,1 water pump,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Cow manure",DORB,National supplier,,Local farmers,
ara2_d19ebe54,Eluru,08/29/2024,Organic,Praveen,10.0,8.7,1.5,Treatment,2,,"2 aerator, 1 water pump","Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Potash, Cow manure",DORB,National supplier,,Local farmers,
ara2_e6fe1327,Eluru,08/29/2024,Organic,Praveen,25.0,22.5,1.5,Treatment,68,Changed to rearing from grow-out in June 2026,"6 aerator, 1 water pump","Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Potash, Cow manure",DORB,National supplier,,Local farmers,
ara2_27b80a16,Eluru,08/29/2024,Organic,Praveen,16.0,14.8,1.5,Treatment,70,,1 water pump,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Potash, Cow manure",DORB,National supplier,,Local farmers,
ara2_8b32e1c5,Eluru,08/29/2024,Organic,Praveen,13.0,11.5,1.5,Treatment,69,,1 water pump,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Potash, Cow manure",DORB,National supplier,,Local farmers,
ara2_1f1af1d7,Eluru,08/29/2024,Organic,Chaitanya,20.0,18.0,2.0,Treatment,12,,"2 aerator, 2 water pump, 1 Motor Boat","Water quality measurement during disease outbreak, Weighing and measuring fish every two months",,"DAP, Super Phosphate",DORB,National supplier,,Local farmers,
ara2_30f18320,Eluru,08/29/2024,Organic,Chaitanya,7.0,5.5,2.0,Treatment,12,,"1 water pump, 1 Motor boat","Weighing and measuring fish every two months, Water quality measurement during disease outbreak",,"Super Phosphate, DAP",DORB,National supplier,,Local farmers,
ara2_574a8c09,Eluru,08/14/2024,Organic,Chaitanya,40.0,32.2,2.0,Treatment,47,,"1 water pump, 1 Motor boat","Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,Gromor fertilizers,DORB,National supplier,,Local farmers,
ara2_94eeabd8,Eluru,08/14/2024,Organic,Chaitanya,50.0,44.6,2.0,Treatment,46,,"1 water pump, 1 Motor Boat","Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,Gromor Fertilizers,DORB,National supplier,,Local farmers,
ara2_9d82e6a0,Eluru,08/14/2024,Organic,Chaitanya,33.0,31.45,2.0,Treatment,39,,"4 aerator, 1 water pump, 1 Motor Boat","Weighing and measuring fish once a month, Water quality measurement during disease outbreak",,Gromor fertilizers,DORB,National supplier,,Local farmers,
ara2_93b6516f,Eluru,06/26/2024,Organic,Chaitanya,30.0,27.72,2.0,Treatment,0,No,"1 aerator, 1 water pump","Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,,DORB,Local market,,Local farmers,
ara2_00b47526,Eluru,06/26/2024,Organic,Chaitanya,50.0,34.0,2.0,Treatment,8,N0,"3 aerator, 3 water pump","Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,Cow Manure,DORB,Local market,,Local farmers,Stocked the fishes from his own breed out ponds
ara2_38378731,Eluru,06/26/2024,Organic,Chaitanya,21.0,16.0,2.0,Treatment,8,No,1 water pump,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,Cow Manure,DORB,Local market,,Local farmers,Farmer stocked the fishes from his own nursery pond
ara2_d9e114a2,Eluru,06/26/2024,Organic,Chaitanya,22.0,15.72,2.0,Treatment,15,No,"1 water pump, Aeration Motor boat","Weighing and measuring fish once a month, Water quality measurement during disease outbreak",,Cow Manure,DORB,Local market,,Local farmers,Stocked the fishes from his own nursery ponds
ara2_4e7754a2,Eluru,06/21/2024,Organic,Chaitanya,50.0,45.88,2.0,Treatment,54,No,"3 water pump, Two boat motor pumps","Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,Cow manure,DORB,Local market,,Local market,
ara2_865d5a84,Eluru,06/21/2024,Organic,Chaitanya,25.0,23.97,1.5,Treatment,18,No,"2 water pump, One aeration motor boat","Weighing and measuring fish once a month, Water quality measurement during disease outbreak",,,DORB,Local market,,Local farmers,
ara2_7a7eace1,Eluru,06/17/2024,Organic,Chaitanya,5.0,4.37,1.5,Treatment,28,No,1 water pump,"Weighing and measuring fish once a month, Water quality measurement during disease outbreak",,Minerals,DORB,Local market,,Local farmers,
ara2_6ca69422,Eluru,06/10/2024,Organic,Chaitanya,10.0,9.2,1.5,Treatment,74,,1 water pump,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"Cow Manure, DAP, Super Phosphate",DORB,Local market,,Local farmers,
ara2_d52ddb31,Eluru,06/10/2024,Organic,Chaitanya,20.0,18.1,1.5,Treatment,65,,"4 aerator, 1 water pump","Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"Cow Manure. DAP, Super Phosphate",DORB,Local market,,Local farmers,
ara2_575536ca,Eluru,06/09/2024,Organic,Chaitanya,7.0,6.2,1.5,Treatment,3,,1 water pump,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,Cow Manure,DORB,Local market,,Local farmers,
ara2_000384fb,Eluru,06/09/2024,Organic,Chaitanya,12.0,11.08,1.5,Treatment,35,,1 water pump,"Weighing and measuring fish once a month, Water quality measurement during disease outbreak",,Cow Manure,DORB,Local market,,Local farmers,
ara2_db4df335,Eluru,06/07/2024,Organic,Chaitanya,4.5,2.74,1.5,Treatment,24,,"1 aerator, 1 water pump","Weighing and measuring fish once a month, Water quality measurement during disease outbreak",,Gromor Fertilizers,DORB,Local market,,Local farmers,
ara2_1d5dce9e,Eluru,06/07/2024,Organic,Chaitanya,4.0,3.0,1.5,Treatment,44,,1 water pump,"Water quality measurement during disease outbreak, Weighing and measuring fish every two months",,Gromor Fertilizers,DORB,Local market,,Local farmers,
ara2_18808778,Eluru,05/27/2024,Organic,Chaitanya,10.0,7.0,1.5,Treatment,3,,1 water pump,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,Cow Manure,Mash,Local market,,Local farmers,
ara2_6a60fbba,Eluru,05/27/2024,Organic,Chaitanya,4.0,3.35,1.5,Treatment,1,,"2 aerator, 2 water pump","Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,Cow Manure,Mash,Local market,,Local farmers,
ara2_efbf4092,Eluru,05/10/2024,Organic,Chaitanya,9.0,7.04,1.5,Treatment,11,,3 aerator,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"Urea, DAP",Mash,Local market,,Local farmers,
ara2_ac5a66af,Eluru,05/10/2024,Organic,Chaitanya,11.0,8.94,1.5,Treatment,11,,"4 aerator, 1 water pump","Weighing and measuring fish once a month, Water quality measurement during disease outbreak",,"Urea, DAP",Mash,Local market,,Local farmers,
ara2_c2bf107e,Eluru,05/10/2024,Organic,Chaitanya,17.0,13.5,1.5,Treatment,7,,2 aerator,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"Urea, DAP",Mash,Local market,,Local farmers,
ara2_540dc41d,Eluru,05/10/2024,Organic,Chaitanya,16.0,13.89,1.5,Treatment,16,,"2 aerator, 1 water pump","Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"Urea, DAP",Mash,Local market,,Local farmers,
ara2_4b73da19,Eluru,05/10/2024,Organic,Chaitanya,30.0,24.0,1.5,Treatment,21,,"3 aerator, 1 water pump, Motor boat with aeration","Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"Urea, DAP",Mash,Local market,,Local farmers,
ara2_5aca7455,Eluru,05/06/2024,Organic,Chaitanya,25.0,22.74,2.0,Treatment,13,,1 water pump,Weighing and measuring fish once a month,,,Mash,Local market,,Local farmers,
ara2_6857ac3f,Eluru,05/06/2024,Organic,Chaitanya,4.0,2.72,1.5,Treatment,40,,"2 aerator, 1 water pump","Weighing and measuring fish once a month, Water quality measurement during disease outbreak",,,Mash,Local market,,Local farmers,
ara2_fea90a74,Eluru,04/26/2024,Organic,Chaitanya,25.0,21.2,1.5,Treatment,74,,"1 aerator, 1 water pump, 1 Motor Boat","Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,Cow and Poultry Manure,Mash,Local market,,Local farmers,
ara2_ca187575,Eluru,04/26/2024,Organic,Chaitanya,24.0,17.2,1.5,Treatment,46,,"1 aerator, 1 water pump, Motor Boat","Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,Cow and Poultry Manure,Mash,Local market,,Local farmers,
ara2_2e8fd6a2,Eluru,04/22/2024,Organic,Chaitanya,7.0,7.0,1.5,Treatment,27,,1 water pump,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,Gromor and Cow Manure,Mash,Local market,,Local farmers,
ara2_c79c24af,Eluru,03/22/2024,Organic,Chaitanya,35.0,28.28,1.5,Treatment,17,,"2 aerator, 1 water pump","Weighing and measuring fish once a month, Water quality measurement during disease outbreak",,Cow and Poultry Manure,"Pelleted feed (floating), Mash",Local market,,Local farmers,
ara2_a7352243,Eluru,03/22/2024,Organic,Chaitanya,10.0,8.5,1.0,Treatment,29,,1 water pump,"Weighing and measuring fish once a month, Water quality measurement during disease outbreak",,Cow and Poultry Manure,Mash,Local market,,Local farmers,
ara2_0677080b,Eluru,03/21/2024,Organic,Chaitanya,13.0,13.0,1.5,Treatment,49,Grow out to breed out in November 2025,"1 aerator, 1 water pump","Weighing and measuring fish once a month, Water quality measurement during disease outbreak",,Gromor fertilizers,Mash,Local market,,Local farmers,
ara2_7bd7da7f,Eluru,03/21/2024,Organic,Chaitanya,1.5,0.85,1.0,Treatment,34,,1 water pump,"Water quality measurement during disease outbreak, Weighing and measuring fish every two months",,No,Mash,Local market,,Local farmers,
ara2_084db03a,Eluru,03/21/2024,Organic,Chaitanya,2.5,1.5,1.0,Treatment,34,,1 water pump,"Water quality measurement during disease outbreak, Weighing and measuring fish every two months",,No,Mash,Local market,,Local farmers,
ara2_0f143c64,Eluru,03/21/2024,Organic,Chaitanya,7.0,6.6,2.0,Treatment,52,,1 water pump,"Water quality measurement during disease outbreak, Weighing and measuring fish every two months",,"Fermented DORB, Probiotics",Mash,Local market,,Local farmers,
ara2_4f79fc8d,Eluru,03/21/2024,Organic,Chaitanya,18.0,15.0,2.0,Treatment,30,Grow out to breed out in September 2025,"4 aerator, 1 water pump","Weighing and measuring fish once a month, Water quality measurement during disease outbreak",,"Fermented DORB, Probiotics",Mash,Local market,,Local farmers,
ara2_4149d54a,Eluru,03/20/2024,Organic,Chaitanya,17.0,15.4,1.5,Treatment,23,,1 water pump,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,Probiotics,"Pelleted feed (floating), Mash",Local market,,Local farmers,
ara2_96339578,Eluru,02/27/2024,Organic,Chaitanya,10.0,8.5,2.0,Treatment,24,,"3 aerator, 1 water pump","Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,,Pelleted feed (floating),National supplier,,Local farmers,
ara2_8cf52ce5,Eluru,02/26/2024,Organic,Chaitanya,1.5,1.0,1.5,Treatment,48,,"2 aerator, 1 water pump","Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,,Mash,Local market,,Local farmers,
ara2_7d060b2c,Eluru,02/23/2024,Organic,Chaitanya,12.0,11.0,2.0,Treatment,2,,"4 aerator, 1 water pump","Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,,Mash,Local market,,Local farmers,
ara2_346e897c,Eluru,02/23/2024,Organic,Chaitanya,3.0,2.54,1.5,Treatment,13,,1 water pump,Weighing and measuring fish once a month,,,Mash,Local market,,Local farmers,
ara2_94d5ac19,Eluru,02/23/2024,Organic,Chaitanya,8.0,6.3,1.5,Treatment,2,,1 aerator,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"Super Phosphate, DAP",Mash,Local market,,Local farmers,
ara2_0a8841ec,Eluru,02/23/2024,Organic,Chaitanya,9.0,7.5,1.5,Treatment,11,,,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,Gromor fertilizers,Mash,Local market,,Nursery pond,
ara2_249e0180,Eluru,02/23/2024,Organic,Chaitanya,47.0,40.7,2.0,Treatment,64,,1 water pump,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,Gromor fertilizers,Mash,Local market,,Own pond,
ara2_4441fb4f,Eluru,12/22/2023,Organic,Chaitanya,3.0,2.85,1.5,Treatment,60,Nursery to Rearing (6/2/2025),1 water pump,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,,Mash,Local market,,Local farmers,
ara2_a90d90d1,Eluru,12/20/2023,Organic,Chaitanya,38.0,36.5,1.8,Treatment,14,,"2 aerator, 1 water pump","Weighing and measuring fish once a month, Water quality measurement once a month",,"DAP, Super Phosphate, Gromor 20:20",Mash,Local market,,Nursery pond,
ara2_f8742535,Eluru,12/20/2023,Organic,Chaitanya,12.0,11.24,3.0,Treatment,14,,1 water pump,"Weighing and measuring fish once a month, Water quality measurement during disease outbreak",,"Urea, Gromor 20-20-0-13",Mash,Local market,,Local farmers,
ara2_70271685,Eluru,12/20/2023,PwC,Chaitanya,25.0,20.68,1.8,Treatment,18,,1 water pump,"Weighing and measuring fish once a month, Water quality measurement during disease outbreak",,No,Mash,Local market,,Local farmers,
ara2_7c20400e,Eluru,12/18/2023,Organic,Chaitanya,10.0,9.07,1.5,Treatment,35,,1 water pump,Weighing and measuring fish once a month,,,Mash,"Local market, National supplier",,Nursery pond,
ara2_957cbe38,Eluru,12/18/2023,Organic,Chaitanya,10.0,8.97,2.0,Treatment,85,,1 water pump,Weighing and measuring fish once a month,,,Mash,Local market,,Nursery pond,
ara2_99d6094f,Eluru,12/18/2023,Organic,Chaitanya,1.0,0.69,2.0,Treatment,6,,2 water pump,Weighing and measuring fish once a month,,"DAP, Super Phosphate, Potassium and Magnesium",Mash,Local market,,Nursery pond,
ara2_20b9b3b1,Eluru,12/18/2023,Organic,Chaitanya,1.0,0.56,2.0,Treatment,6,,2 water pump,Weighing and measuring fish once a month,,"DAP, Super Phosphate, Potassium and Magnesium",Mash,Local market,,Nursery pond,
ara2_194348f0,Eluru,11/22/2023,Organic,Sanjay,9.0,6.77,1.5,Treatment,14,,,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Super, Potash",DORB,Local market,,Local market,
ara2_00373712,Eluru,11/19/2023,Organic,Nagaraju P.,18.0,14.83,2.0,Treatment,2,,3 aerator,"Weighing and measuring fish once a month, Water quality measurement during disease outbreak",,"DAP, Super, Potash",DORB,Local market,,Local market,
ara2_a1c0497f,Eluru,11/19/2023,Organic,Nagaraju P.,2.5,1.71,2.0,Treatment,20,,2 aerator,Weighing and measuring fish once a month,,"DAP, Super, Potash",DORB,Local market,,Local market,
ara2_2ae80458,Eluru,11/19/2023,Organic,Sanjay,6.0,4.65,1.8,Treatment,25,,2 water pump,Weighing and measuring fish every two months,,"DAP, Super, Potash",DORB,Local market,,Local market,
ara2_a0d5d74d,Eluru,11/18/2023,Organic,Sanjay,6.0,4.26,2.0,Treatment,53,,,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP,Probiotics",DORB,Local market,,Local market,
ara2_7f72325e,Eluru,10/26/2023,Organic,Sai,3.0,2.18,1.5,Treatment,30,NO,1 water pump,Pond preparation,,"DAP, Super, Potash",DORB,Local market,,Local farmers,
ara2_cdd141ba,Eluru,10/19/2023,Organic,Sanjay,13.0,9.41,1.5,Treatment,16,NO,1 aerator,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Super, Potash, Urea",DORB,Local market,,Local market,Farmer have one boat
ara2_2d9db0cb,Eluru,09/26/2023,Organic,Sai,25.0,18.64,7.0,Treatment,10,,"5 aerator, Farmer Have 5 Aerators","Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Super, Potash",DORB,Local market,,Local market,Farmer have 5 aerators
ara2_0c7bd285,Nellore,09/20/2023,Organic,Chaitanya,2.5,2.03,2.0,Treatment,53,,"2 aerator, 2 water pump",Weighing and measuring fish once a month,,,Pelleted feed (floating),Local market,Icon,Local farmers,
ara2_626e23f2,Nellore,09/20/2023,Organic,Chaitanya,1.0,0.86,1.5,Treatment,40,Changed to grow-out from rearing in April 2026,1 water pump,Weighing and measuring fish once a month,,,Pelleted feed (floating),National supplier,Abis,Local farmers,
ara2_88abf248,Nellore,09/20/2023,PwC,Chaitanya,7.0,5.55,1.5,Treatment,58,,"2 aerator, 2 water pump",Weighing and measuring fish once a month,,Probiotic and Minerals,Pelleted feed (floating),National supplier,Abis,Nursery pond,
ara2_dfe79bad,Nellore,09/20/2023,PwC,Chaitanya,2.4,2.09,1.5,Treatment,44,,"1 aerator, 2 water pump",Weighing and measuring fish once a month,,"Probiotic, Magnesium",Pelleted feed (floating),National supplier,Abis,Nursery pond,
ara2_ee15e2a0,Nellore,09/20/2023,Organic,Chaitanya,5.0,4.27,2.0,Treatment,43,,"2 aerator, 4 water pumps",Weighing and measuring fish once a month,,,Pelleted feed (floating),National supplier,Abis,Local farmers,
ara2_217d2764,Eluru,09/05/2023,Organic,Sai,25.0,,5.0,Assessment,6,NO,Motor Boat,,,"DAP, Super, Potash",DORB,Local market,,Local market,
ara2_f0a859d3,Eluru,09/05/2023,Organic,Sai,25.0,,5.0,Assessment,6,,Motor Boat,,,"DAP, Super, Potash",DORB,Local market,,Local market,
ara2_f5c44392,Eluru,09/05/2023,Organic,Sai,14.0,11.8,3.0,Treatment,103,NO,"1 water pump, Motor Boat",Weighing and measuring fish once a month,,"DAP, Super, Potash","Pelleted feed (sinking), DORB",Local market,,Local market,
ara2_054e57af,Eluru,09/01/2023,Organic,Sai,17.0,12.88,2.0,Treatment,20,,2 aerator,Weighing and measuring fish once a month,,"DAP, Super, Potash","Pelleted feed (floating), DORB",Local market,Local Market,Local market,
ara2_ac267ebf,Eluru,09/01/2023,Organic,Sai,16.0,13.33,5.0,Treatment,31,,1 aerator,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,He follows organic methods,DORB,Local market,,Local market,
ara2_27f8f56a,Eluru,08/30/2023,Organic,Sai,53.0,44.07,2.0,Treatment,66,NO,,Disease analysis by sending dead fish to lab,,"Cow Manure, Potash","Pelleted feed (sinking), DORB",Local market,Local Market,Local market,"Fish in the pond are suffering with disease outbreak, farmer is unsure about disease and he said he will let us know."
ara2_f5124b92,Eluru,08/25/2023,Organic,Sai,9.0,7.81,2.0,Control,89,NO,3 aerator,Weighing and measuring fish once a month,,"DAP, Super, Potash, Urea
Potash",DORB,Local market,,Local market,Farmer have 4 Aerators
ara2_2a7578bb,Eluru,08/25/2023,Organic,Sai,20.0,18.7,1.5,Treatment,18,,,Weighing and measuring fish once a month,,"DAP, Super, Potash",DORB,Local market,,Local market,
ara2_31afc592,Eluru,08/22/2023,Organic,Sai,20.0,16.17,2.5,Treatment,106,NO,2 water pump,Weighing and measuring fish once a month,,"DAP,Probiotics","Pelleted feed (sinking), DORB",Local market,,Local market,
ara2_e985ca4a,Eluru,08/22/2023,Organic,Sai,8.0,7.36,2.5,Treatment,67,NO,,Weighing and measuring fish once a month,,"DAP,Probiotics","Pelleted feed (sinking), DORB",Local market,,Local market,
ara2_7e358ea4,Nellore,08/11/2023,PwC,Chandu,5.0,4.32,1.5,Treatment,60,,2 water pump,Weighing and measuring fish once a month,Water quality measurement when there is a disease outbreak,No,Pelleted feed (floating),International supplier,Cargill,Local farmers,
ara2_122dd1c9,Nellore,08/11/2023,PwC,Chandu,7.0,6.24,2.0,Treatment,58,,2 water pump,Weighing and measuring fish once a month,,,Pelleted feed (floating),International supplier,Cargill,Local farmers,
ara2_b0010581,Nellore,08/11/2023,PwC,Chandu,4.0,3.49,2.0,Treatment,55,Changed to Grow out from rearing in June 2026,"2 aerator, 1 water pump",Weighing and measuring fish once a month,,No,Pelleted feed (floating),National supplier,IB Ibis,Local farmers,
ara2_1d54882b,Nellore,08/09/2023,Organic,Chandu,3.0,2.8,1.5,Treatment,36,,"2 aerator, 1 water pump","Weighing and measuring fish once a month, Water quality measurement during disease outbreak",Water quality measurement when there is a disease outbreak,,Pelleted feed (floating),National supplier,IB Ibis,Local farmers,
ara2_e7d0223c,Nellore,08/09/2023,Organic,Chandu,2.5,2.13,1.5,Treatment,30,Grow out to rearing in November 2025 ,1 water pump,Weighing and measuring fish once a month,Water quality measurement when there is a disease outbreak,No,Pelleted feed (floating),National supplier,Kingfish,Local farmers,
ara2_79cf3b3a,Nellore,08/09/2023,Organic,Chandu,3.5,2.84,1.5,Treatment,55,,1 water pump,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month, Pond preparation",,No,Pelleted feed (floating),National supplier,Kingfish,Local farmers,
ara2_f5e499f4,Eluru,08/08/2023,Organic,Sai,6.0,5.03,11.0,Treatment,56,NO,1 water pump,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,Single super phosphate,DORB,Local market,Local Market,Local market,
ara2_970ce848,Eluru,08/08/2023,Organic,Sai,24.0,21.64,2.0,Treatment,86,Breed out to Grow out from December 2025,"3 aerator, 1 water pump",Water quality measurement during disease outbreak,Unsure/ do not remember,"Urea
Single super phosphate
Potash
Magnesium","Pelleted feed (floating), DORB",Local market,Local Market,Local market,Farmer have 5 Aerators
ara2_f4e367af,Nellore,08/08/2023,Organic,Chandu,1.5,1.22,2.5,Treatment,31,,"3 aerator, 2 water pump","Pond preparation, Weighing and measuring fish once a month",Water quality measurement when there is a disease outbreak,No,Pelleted feed (floating),Local market,,Local farmers,Has 3 Aerators
ara2_8a37ac9f,Nellore,08/08/2023,Organic,Chandu,4.5,4.08,1.5,Treatment,57,,3 water pump,Weighing and measuring fish once a month,,No,Pelleted feed (floating),Local market,,Local farmers,
ara2_a6551d54,Eluru,08/08/2023,Organic,Sai,1.0,0.7,1.5,Treatment,51,NO,1 water pump,Water quality measurement during disease outbreak,,Single super phosphate,"Mash, DORB",Local market,Local Market,Local market,
ara2_6ec2f0e5,Eluru,08/08/2023,Organic,Sai,6.0,4.12,2.5,Treatment,65,Breed out to Nursey in November 2025,2 water pump,Water quality measurement during disease outbreak,,Single super phosphate,"Pelleted feed (sinking), DORB",Local market,Krishna Prabhas,Local market,
ara2_1b6714d3,Nellore,08/08/2023,Organic,Chandu,2.0,1.75,1.5,Treatment,50,,2 water pump,"Weighing and measuring fish once a month, Water quality measurement during disease outbreak, Pond preparation",,No,Pelleted feed (floating),Local market,,Local farmers,
ara2_46286ebb,Eluru,08/07/2023,Organic,Sai,28.0,22.52,2.0,Treatment,101,,"2 aerator, 2 water pump",Water quality measurement during disease outbreak,Water quality measurement when there is a disease outbreak,"Urea
Single super phosphate
Potash
Zinc",DORB,Local market,Local Farmer,Local farmers,
ara2_e74f26b3,Eluru,08/07/2023,Organic,Sai,20.0,16.57,2.0,Treatment,83,,2 aerator,Water quality measurement during disease outbreak,,"Urea
Single super phosphate
Potash
Zinc",DORB,Local market,,Local farmers,
ara2_0b0bdb08,Nellore,07/26/2023,Organic,Chaitanya,2.0,1.81,1.5,Treatment,41,NO,"2 aerator, 2 water pump","Pond preparation, Weighing and measuring fish once a month, Water quality measurement during disease outbreak",Applied Iodine,,Pelleted feed (floating),Local market,GODREJ,Local farmers,
ara2_d0d5f943,Nellore,07/26/2023,Organic,Chaitanya,1.0,0.66,1.5,Treatment,51,NO,4 WATER PUMPS,Pond preparation,ADDED BLEACH AND DOLOMITE,No,Mash,Local market,LOCAL MARKET,Local farmers,
ara2_fc999d29,Nellore,07/26/2023,Organic,Chaitanya,2.0,1.49,1.5,Treatment,59,NO,1 water pump,Pond preparation,ADDED BLEACH AND DOLOMITE,No,Mash,Local market,,Local farmers,
ara2_83b11f44,Nellore,07/26/2023,Organic,Chaitanya,3.0,2.32,1.5,Treatment,37,NO,2 water pump,Pond preparation,ADDED BLEACH AND DOLOMITE,No,Mash,Local market,,Local farmers,
ara2_50c225c4,Nellore,07/26/2023,Organic,Chaitanya,2.0,1.42,1.5,Treatment,35,NO,1 water pump,"Pond preparation, Weighing and measuring fish once a month, Water quality measurement during disease outbreak",ADDED BLEACH AND DOLOMITE,No,Mash,Local market,,Local farmers,
ara2_b0a5ed5f,Eluru,12/16/2022,Organic,Maneesh,50.0,46.94,2.5,Treatment,100,NO,"3 aerator, 3 water pump","Pond preparation, Behavioural welfare assessment, Physical welfare assessment, Weighing and measuring fish once a month",Water quality measurement once a month,"Manure (cow, pig, horse, poultry or other dung)
Urea
Ammonium sulphate
Triple super phosphate",Mash,Local market,PATTABHI FEED,Own pond,
ara2_b1d545d0,Eluru,12/16/2022,,Maneesh,5.0,,2.5,,0,NO,1 aerator,"Behavioural welfare assessment, Physical welfare assessment, Weighing and measuring fish once a month",Water quality measurement once a month,Triple super phosphate,Mash,Local market,NRK FEEDS,Individual supplier,
ara2_80a7ea66,Eluru,12/16/2022,,Maneesh,30.0,,2.5,,0,NO,3 aerator,"Pond preparation, Weighing and measuring fish once a month",Water quality measurement twice a month,"Manure (cow, pig, horse, poultry or other dung)
Urea
Ammonium sulphate
Triple super phosphate",Mash,Local market,NRK FEEDS,Own pond,
ara2_77fa9764,Eluru,12/16/2022,Organic,Maneesh,17.0,16.42,2.5,Treatment,34,NO,,"Behavioural welfare assessment, Weighing and measuring fish once a month",Water quality measurement once a month,"Manure (cow, pig, horse, poultry or other dung)
Triple super phosphate",Mash,Local market,NRK FEEDS,Individual supplier,
ara2_e47a8d26,Eluru,12/16/2022,Organic,Maneesh,25.0,22.46,2.5,Treatment,82,NO,"3 aerator, 2 water pump","Pond preparation, Behavioural welfare assessment, Physical welfare assessment, Weighing and measuring fish once a month",Water quality measurement twice a month,"Ammonium sulphate
Triple super phosphate",Mash,"Local market, Self made",NRK FEEDS,Own pond,
ara2_cb372445,Eluru,12/16/2022,Organic,Maneesh,10.0,8.73,2.0,Treatment,96,NO,5 aerator,"Pond preparation, Physical welfare assessment",Water quality measurement once a month,"Triple super phosphate
Potash
organic manures from local supplier.",Mash,Local market,NRK FEEDS,Own pond,has 5 aerators and 2 submersible aerators followed by a re circulation boat
ara2_51ffa437,Eluru,12/16/2022,Organic,Maneesh,3.0,2.66,2.0,Treatment,84,NO,2 aerator,"Pond preparation, Physical welfare assessment",Water quality measurement once a month,"Triple super phosphate
organic manures from local supplier.",Mash,Local market,NRK FEEDS,Hatchery,
ara2_368849b6,Eluru,12/16/2022,Organic,Maneesh,50.0,49.8,2.5,Treatment,102,NO,"3 aerator, 2 water pump, water re circulation boat","Pond preparation, Behavioural welfare assessment, Physical welfare assessment, Disease analysis by sending dead fish to lab, Weighing and measuring fish once a month",Water quality measurement once a month,"Ammonium sulphate
Triple super phosphate",Mash,Local market,PATTABHI FEED,Own pond,
