pond_id,region,Event date,Initial entry,Pond status,Type,Logged by,Data verification method,Data verified by,Data verification notes,Lifecycle,Current fish stocking density per acre,Current shrimp stocking density per acre,Species,Species ratio,Reported target weight in grams,Communicated stock density limit,Average fish weight (in grams),Average weight of Catla (Catla catla) (in grams),Average weight of Rohu (Labeo rohita) (in grams),Average weight of Mrigal (Cirrhinus cirrhosus) (in grams),Average weight of Grass Carp (Ctenopharyngodon idella) (in grams),Average weight of Common Carp (Cyprinus carpio) (in grams),Average weight of Roopchand (in grams),Average weight of Whiteleg Shrimp (Litopenaeus vannamei) (in grams),Average weight of Pangasius (in grams),Intended fish stocking density (per acre),Intended fish stocking density (entire pond),Actual fish stocking density (per acre),Fish stocking density (entire pond),Fish purchases diverted,Intended shrimp stocking density (per acre),Intended shrimp stocking density (entire pond),Actual shrimp stocking density (per acre),Actual shrimp stocking density (entire pond),Shrimp purchases diverted,Did the farmer do pond preparation?,Explain what the farmer did for pond preparation,Harvest reason,"Fish harvested (total, in kg)","Shrimp harvested (total, in kg)","Fish left in the pond (total, in individuals)","Shrimp left in the pond (total, in individuals)",Is the farmer planning to do pond preparation?,Explain what the farmer is planning to do for pond preparation,Notes,Lifecycle is updated accordingly on the master doc,Created at
ara2_7a7eace1,Eluru,10/08/2025,No,Treatment,Stocking,Chaitanya,Verbal communication,,,Breed-out,9153.0,,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,250.0,12000.0,50.0,,,,,,,,,9153,40000.0,9153.0,40000.0,0.0,,,,,,0,,,,,,,,,,Yes,11/17/2025 05:54
ara2_c15dc3a2,Eluru,10/08/2025,No,Control,Harvest,Chaitanya,Verbal communication,,,Grow-out,0.0,,"Rohu (Labeo rohita), Catla (Catla catla)",,,,1300.0,,,,,,,,,,,,,,,,,,,,,Planned harvest,78000,,0,,0,,,Yes,11/07/2025 11:45
ara2_bdf1f578,Eluru,10/07/2025,No,Treatment,Stocking,Chaitanya,Verbal communication,,,Grow-out,2357.0,,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,1000.0,3000.0,150.0,,,,,,,,,2357,66000.0,2357.0,66000.0,0.0,,,,,,0,,,,,,,,,,Yes,10/16/2025 05:09
ara2_cd998399,Eluru,10/06/2025,No,Treatment,Harvest,Chaitanya,Verbal communication,,,Grow-out,221.0,,"Rohu (Labeo rohita), Catla (Catla catla)",,,,1050.0,,,,,,,,,,,,,,,,,,,,,Planned harvest,70000,,6000,,0,,Farmer says approximately 6000 fishes might be left behind in the pond which were not caught while harvesting,Yes,10/16/2025 05:14
ara2_ca187575,Eluru,10/02/2025,No,Treatment,Harvest,Chaitanya,Verbal communication,,,Breed-out,0.0,,"Rohu (Labeo rohita), Catla (Catla catla)",,,,600.0,,,,,,,,,,,,,,,,,,,,,Planned harvest,,,0,,0,,Sold 100000 fishes to other grow out farmer,Yes,11/08/2025 06:35
ara2_646bdcdb,Eluru,10/01/2025,No,Treatment,Stocking,Chaitanya,Verbal communication,,,Rearing,63158.0,,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,150.0,80000.0,10.0,,,,,,,,,63158,300000.0,63158.0,300000.0,0.0,,,,,,0,,,,,,,,,,Yes,11/08/2025 05:36
ara2_09faa72c,Eluru,10/01/2025,No,Treatment,Stocking,Chaitanya,Verbal communication,,,Grow-out,2546.0,,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,1000.0,3000.0,150.0,,,,,,,,,2546,27500.0,2546.0,27500.0,0.0,,,,,,1,Sun dried the pond bottom and added burnt lime,,,,,,,,,Yes,10/10/2025 04:54
ara2_3c5dafd2,Eluru,09/28/2025,No,Treatment,Stocking,Chaitanya,Verbal communication,,,Breed-out,7368.0,,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,300.0,10000.0,30.0,,,,,,,,,7368,70000.0,7368.0,70000.0,0.0,,,,,,0,,,,,,,,,,Yes,11/17/2025 05:49
ara2_0f143c64,Eluru,09/25/2025,No,Treatment,Stocking,Chaitanya,Verbal communication,,,Breed-out,7576.0,,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,250.0,12000.0,50.0,,,,,,,,,7576,50000.0,7576.0,50000.0,0.0,,,,,,0,,,,,,,,,,Yes,10/16/2025 05:34
ara2_e7d0223c,Nellore,09/22/2025,No,Treatment,Harvest,Chaitanya,Verbal communication,,,Grow-out,0.0,,"Rohu (Labeo rohita), Catla (Catla catla)",,,,900.0,,,,,,,,,,,,,,,,,,,,,Planned harvest,3340,,0,,1,Sun dried the pond bottom and added bleach,,Yes,12/13/2025 05:08
ara2_9103673b,Eluru,09/22/2025,No,Treatment,Stocking,Chaitanya,Verbal communication,,,Breed-out,11818.0,,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,200.0,12000.0,50.0,,,,,,,,,11818,13000.0,11818.0,13000.0,0.0,,,,,,0,,,,,,,,,,Yes,10/01/2025 03:55
ara2_0e392abc,Eluru,09/22/2025,No,Treatment,Harvest,Chaitanya,Verbal communication,,,Grow-out,0.0,,"Rohu (Labeo rohita), Catla (Catla catla)",,,,1200.0,,,,,,,,,,,,,,,,,,,,,Planned harvest,40000,,0,,0,,,Yes,09/24/2025 07:55
ara2_f17bbe2f,Eluru,09/22/2025,No,Treatment,Harvest,Chaitanya,Verbal communication,,,Grow-out,0.0,,"Rohu (Labeo rohita), Catla (Catla catla)",,,,1363.0,,,,,,,,,,,,,,,,,,,,,Planned harvest,30000,,0,,0,,,Yes,09/24/2025 07:53
ara2_7b2b4994,Eluru,09/20/2025,No,Treatment,Harvest,Chaitanya,Verbal communication,,,Grow-out,0.0,,"Rohu (Labeo rohita), Catla (Catla catla)",,,,1000.0,,,,,,,,,,,,,,,,,,,,,Planned harvest,66000,,0,,0,,,Yes,10/16/2025 05:57
ara2_844ff6fe,Eluru,09/20/2025,No,Treatment,Stocking,Chaitanya,Verbal communication,,,Grow-out,2240.0,,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,1000.0,3000.0,200.0,,,,,,,,,2240,28000.0,2240.0,28000.0,0.0,,,,,,1,"Sun dried the pond bottom, removed sludge, strengthened the dykes",,,,,,,,,Yes,10/16/2025 05:45
ara2_ef01d63e,Eluru,09/20/2025,No,Treatment,Stocking,Chaitanya,Verbal communication,,,Grow-out,2740.0,,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,1000.0,3000.0,106.0,,,,,,,,,2740,40000.0,2740.0,40000.0,0.0,,,,,,0,,,,,,,,,,Yes,09/24/2025 07:37
ara2_fdcc3d9a,Eluru,09/20/2025,No,Treatment,Stocking,Chaitanya,Verbal communication,,,Grow-out,2963.0,,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,1000.0,3000.0,106.0,,,,,,,,,2963,40000.0,2963.0,40000.0,0.0,,,,,,0,,,,,,,,,,Yes,09/24/2025 06:46
ara2_29c9448f,Eluru,09/20/2025,No,Treatment,Partial harvest,Chaitanya,Verbal communication,,,Breed-out,3938.0,,"Rohu (Labeo rohita), Catla (Catla catla)",,,,269.0,,,,,,,,,,,,,,,,,,,,,Planned harvest,,,31500,,0,,32500 fishes were transferred to grow out pond ara2_f5dabd1c,Yes,09/23/2025 07:03
ara2_f5dabd1c,Eluru,09/20/2025,No,Treatment,Stocking,Chaitanya,Verbal communication,,,Grow-out,2407.0,,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,1000.0,3000.0,269.0,,,,,,,,,2407,32500.0,2407.0,32500.0,0.0,,,,,,0,,,,,,,,,,Yes,09/23/2025 06:50
ara2_06ad2d07,Eluru,09/19/2025,No,Treatment,Harvest,Chaitanya,Verbal communication,,,Grow-out,0.0,,"Rohu (Labeo rohita), Catla (Catla catla)",,,,950.0,,,,,,,,,,,,,,,,,,,,,Planned harvest,41000,,0,,1,Sun dry the pond bottom,,Yes,11/17/2025 05:42
ara2_6af7067d,Eluru,09/19/2025,No,Treatment,Stocking,Chaitanya,Verbal communication,,,Grow-out,2129.0,,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,1200.0,2500.0,209.0,,,,,,,,,2129,66000.0,2129.0,66000.0,0.0,,,,,,0,,,,,,,,,,Yes,09/24/2025 07:46
ara2_7bd7da7f,Eluru,09/18/2025,No,Treatment,Harvest,Chaitanya,Verbal communication,,,Nursery,0.0,,"Rohu (Labeo rohita), Catla (Catla catla)",,,,150.0,,,,,,,,,,,,,,,,,,,,,Planned harvest,,,0,,1,Sun dry the pond bottom,90000 fishes were sold to other farmers,Yes,12/20/2025 10:56
ara2_46acb0f4,Eluru,09/18/2025,No,Treatment,Stocking,Chaitanya,Verbal communication,,,Nursery,70175.0,,Rohu (Labeo rohita),9:1,50.0,60000.0,10.0,,,,,,,,,70175,400000.0,70175.0,400000.0,0.0,,,,,,0,,,,,,,,,,Yes,10/16/2025 05:42
ara2_084db03a,Eluru,09/17/2025,No,Treatment,Harvest,Chaitanya,Verbal communication,,,Rearing,0.0,,Catla (Catla catla),,,,200.0,,,,,,,,,,,,,,,,,,,,,Planned harvest,,,0,,1,Sun dry the pond bottom,85000 fishes were sold to breed out farmers,Yes,12/20/2025 10:53
ara2_771be42c,Eluru,09/15/2025,No,Treatment,Harvest,Chaitanya,Verbal communication,,,Breed-out,0.0,,"Rohu (Labeo rohita), Catla (Catla catla)",,,,400.0,,,,,,,,,,,,,,,,,,,,,Planned harvest,,,0,,0,,45000 fishes were sold to other grow out farmer,Yes,11/04/2025 05:47
ara2_4f79fc8d,Eluru,09/15/2025,No,Treatment,Stocking,Chaitanya,Verbal communication,,,Breed-out,6667.0,,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,250.0,12000.0,30.0,,,,,,,,,6667,100000.0,6667.0,100000.0,0.0,,,,,,0,,,,,,,,,,Yes,10/16/2025 05:31
ara2_4ce1c3bb,Eluru,09/15/2025,No,Treatment,Stocking,Chaitanya,Verbal communication,,,Breed-out,7407.0,,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,150.0,20000.0,30.0,,,,,,,,,7407,10000.0,7407.0,10000.0,0.0,,,,,,1,Sun dried the pond bottom and removed sludge,,,,,,,,,Yes,09/23/2025 06:00
ara2_6ec2f0e5,Eluru,09/10/2025,No,Treatment,Harvest,Chaitanya,Verbal communication,,,Breed-out,0.0,,"Rohu (Labeo rohita), Catla (Catla catla)",,,,700.0,,,,,,,,,,,,,,,,,,,,,,30000,,0,,0,,30 tons of fishes were sold to other grow out farmers,Yes,12/08/2025 05:32
ara2_a6551d54,Eluru,09/10/2025,No,Treatment,Harvest,Chaitanya,Verbal communication,,,Rearing,0.0,,"Rohu (Labeo rohita), Catla (Catla catla)",,,,300.0,,,,,,,,,,,,,,,,,,,,,Planned harvest,,,0,,1,Sun dry the pond bottom and remove sludge,50000 fishes were sold to grow out farmers,Yes,12/08/2025 05:28
ara2_0b1b03bb,Eluru,09/10/2025,No,Treatment,Stocking,Chaitanya,Verbal communication,,,Breed-out,7514.0,,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,200.0,15000.0,50.0,,,,,,,,,7514,130000.0,7514.0,130000.0,0.0,,,,,,1,Sun dried pond bottom and treated with medicines to remove tilapia eggs,,,,,,,,,Yes,09/23/2025 07:21
ara2_0772ec50,Eluru,09/08/2025,No,Treatment,Stocking,Chaitanya,Verbal communication,,,Grow-out,2588.0,,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,1000.0,3000.0,350.0,,,,,,,,,2588,110000.0,2588.0,110000.0,0.0,,,,,,0,,,,,,,,,,Yes,10/10/2025 04:47
ara2_ff85ba57,Eluru,09/08/2025,No,Treatment,Stocking,Chaitanya,Verbal communication,,,Grow-out,2729.0,,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,1000.0,3000.0,300.0,,,,,,,,,2729,80000.0,2729.0,80000.0,0.0,,,,,,0,,,,,,,,,,Yes,09/17/2025 06:25
ara2_9d82e6a0,Eluru,09/06/2025,No,Treatment,Harvest,Chaitanya,Verbal communication,,,Grow-out,0.0,,"Rohu (Labeo rohita), Catla (Catla catla)",,,,1200.0,,,,,,,,,,,,,,,,,,,,,Planned harvest,84000,,0,,0,,,Yes,11/05/2025 06:33
ara2_ef01d63e,Eluru,09/05/2025,No,Treatment,Harvest,Chaitanya,Verbal communication,,,Grow-out,0.0,,"Rohu (Labeo rohita), Catla (Catla catla)",,,,1000.0,,,,,,,,,,,,,,,,,,,,,Planned harvest,36000,,0,,0,,,Yes,09/24/2025 06:51
ara2_646bdcdb,Eluru,09/05/2025,No,Treatment,Harvest,Chaitanya,Verbal communication,,,Rearing,0.0,,"Rohu (Labeo rohita), Catla (Catla catla)",,,,100.0,,,,,,,,,,,,,,,,,,,,,Planned harvest,,,0,,1,Sun dry the pond bottom,130000 fishes were transferred to ara2_0b1b03bb and 200000 fishes were sold to other farmers,Yes,09/23/2025 07:30
ara2_dfe79bad,Nellore,09/04/2025,No,Treatment,Stocking,Chaitanya,Verbal communication,,,Grow-out,2631.0,,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,1000.0,3000.0,100.0,,,,,,,,,2631,5500.0,2631.0,5500.0,0.0,,,,,,1,"Sun dried the pond bottom, removed sludge and strengthened the dykes",,,,,,,,,Yes,12/13/2025 10:05
ara2_bdf1f578,Eluru,09/04/2025,No,Treatment,Harvest,Chaitanya,Verbal communication,,,Grow-out,0.0,,"Rohu (Labeo rohita), Catla (Catla catla)",,,,1000.0,,,,,,,,,,,,,,,,,,,,,Planned harvest,60000,,0,,0,,,Yes,10/16/2025 05:06
ara2_c57f3380,Eluru,08/31/2025,No,Treatment,Harvest,Chaitanya,Verbal communication,,,Grow-out,0.0,,"Rohu (Labeo rohita), Catla (Catla catla)",,,,1000.0,,,,,,,,,,,,,,,,,,,,,Planned harvest,50000,,0,,0,,,Yes,09/24/2025 07:49
ara2_ff85ba57,Eluru,08/29/2025,No,Treatment,Harvest,Chaitanya,Verbal communication,,,Grow-out,0.0,,"Catla (Catla catla), Rohu (Labeo rohita)",,,,1300.0,,,,,,,,,,,,,,,,,,,,,Planned harvest,100000,,0,,0,,,Yes,09/17/2025 06:22
ara2_5a3d15dd,Nellore,08/29/2025,No,Treatment,Stocking,Chaitanya,Verbal communication,,,Grow-out,1154.0,,Rohu (Labeo rohita),10,1000.0,3000.0,250.0,,,,,,,,,1154,1500.0,1154.0,1500.0,0.0,,,,,,1,Sun dried the pond bottom and removed the sludge,,,,,,,,,Yes,09/10/2025 07:53
ara2_98d96403,Nellore,08/29/2025,No,Treatment,Stocking,Chaitanya,Verbal communication,,,Grow-out,2941.0,,Roopchand,10,1000.0,3000.0,400.0,,,,,,,,,2941,2500.0,2941.0,2500.0,0.0,,,,,,1,Sun dry the pond bottom and removed debris,,,,,,,,,Yes,09/10/2025 07:11
ara2_f5dabd1c,Eluru,08/28/2025,No,Treatment,Harvest,Chaitanya,Verbal communication,,,Grow-out,0.0,,"Rohu (Labeo rohita), Catla (Catla catla)",,,,1371.0,,,,,,,,,,,,,,,,,,,,,Planned harvest,45000,,0,,0,,,Yes,09/23/2025 06:46
ara2_27387783,Eluru,08/28/2025,No,Treatment,Stocking,Chaitanya,Verbal communication,,,Breed-out,10588.0,,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,150.0,20000.0,30.0,,,,,,,,,10588,90000.0,10588.0,90000.0,0.0,,,,,,0,,,,,,,,,,Yes,09/17/2025 06:32
ara2_573a2826,Eluru,08/27/2025,No,Treatment,Stocking,Chaitanya,Verbal communication,,,Breed-out,7000.0,,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,250.0,12000.0,50.0,,,,,,,,,7000,35000.0,7000.0,35000.0,0.0,,,,,,0,,,,,,,,,,Yes,09/24/2025 06:35
ara2_586ab2f7,Eluru,08/27/2025,No,Treatment,Stocking,Chaitanya,Verbal communication,,,Rearing,38517.0,,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,100.0,30000.0,10.0,,,,,,,,,38571,135000.0,38517.0,135000.0,189.0,,,,,,0,,,,,,,,,,Yes,09/17/2025 06:51
ara2_cd288d30,Nellore,08/27/2025,No,Treatment,Stocking,Chaitanya,Verbal communication,,,Grow-out,2857.0,,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,1000.0,3000.0,150.0,,,,,,,,,4286,3000.0,2857.0,2000.0,1000.0,,,,,,1,Sun dry the pond bottom and removed debris,,,,,,,,,Yes,09/10/2025 07:04
ara2_3c5dafd2,Eluru,08/25/2025,No,Treatment,Harvest,Chaitanya,Verbal communication,,,Breed-out,0.0,,"Rohu (Labeo rohita), Catla (Catla catla)",,,,250.0,,,,,,,,,,,,,,,,,,,,,Planned harvest,,,0,,0,,70000 fishes were sold to grow-out farmers,Yes,11/17/2025 05:46
ara2_7dc637c3,Eluru,08/25/2025,No,Treatment,Harvest,Chaitanya,Verbal communication,,,Grow-out,0.0,,"Rohu (Labeo rohita), Catla (Catla catla)",,,,1400.0,,,,,,,,,,,,,,,,,,,,,Planned harvest,60000,,0,,0,,,Yes,09/23/2025 07:14
ara2_957cbe38,Eluru,08/25/2025,No,Treatment,Stocking,Chaitanya,Verbal communication,,,Grow-out,2787.0,,"Catla (Catla catla), Rohu (Labeo rohita)",9:1,1000.0,3000.0,350.0,,,,,,,,,2787,25000.0,2787.0,25000.0,0.0,,,,,,0,,,,,,,,,,Yes,08/29/2025 05:14
ara2_f5124b92,Eluru,08/25/2025,No,Treatment,Stocking,Chaitanya,Verbal communication,,,Grow-out,3201.0,,"Catla (Catla catla), Rohu (Labeo rohita)",9:1,1000.0,3000.0,350.0,,,,,,,,,3201,25000.0,3201.0,25000.0,0.0,,,,,,0,,,,,,,,,Farmer mentioned he would do a partial harvest of few fishes when they reach 800 grams.,Yes,08/29/2025 05:11
ara2_1d54882b,Nellore,08/24/2025,No,Treatment,Stocking,Chaitanya,Verbal communication,,,Grow-out,3036.0,,Roopchand,10,1000.0,3000.0,300.0,,,,,,,,,3036,8500.0,3036.0,8500.0,0.0,,,,,,1,Sun dry the pond bottom and removed debris,,,,,,,,,Yes,09/10/2025 06:27
ara2_249e0180,Eluru,08/24/2025,No,Treatment,Stocking,Chaitanya,Verbal communication,,,Grow-out,3243.0,,"Catla (Catla catla), Rohu (Labeo rohita)",9:1,1000.0,3000.0,150.0,,,,,,,,,3243,132000.0,3243.0,132000.0,0.0,,,,,,1,Sun dried the pond bottom and removed the sludge,,,,,,,,Farmer said will transfer some of these fishes to their other grow-out pond after they reach 500-600 grams and continue to grow the remaining fishes till 1 kg.,Yes,09/04/2025 05:06
ara2_6857ac3f,Eluru,08/23/2025,No,Treatment,Stocking,Chaitanya,Verbal communication,,,Breed-out,11029.0,,"Catla (Catla catla), Rohu (Labeo rohita)",9:1,250.0,12000.0,50.0,,,,,,,,,11029,30000.0,11029.0,30000.0,0.0,,,,,,1,"Sun dried the pond bottom, removed sludge and strengthened the dykes",,,,,,,,,Yes,08/29/2025 05:32
ara2_30c31874,Eluru,08/22/2025,No,Treatment,Stocking,Chaitanya,Verbal communication,,,Nursery,166667.0,,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,30.0,100000.0,1.0,,,,,,,,,166667,700000.0,166667.0,700000.0,0.0,,,,,,0,,,,,,,,,,Yes,09/17/2025 07:00
ara2_778970d8,Eluru,08/22/2025,No,Treatment,Stocking,Chaitanya,Verbal communication,,,Grow-out,1383.0,,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,1200.0,2500.0,250.0,,,,,,,,,1383,74700.0,1383.0,74700.0,0.0,,,,,,0,,,,,,,,,,Yes,09/17/2025 06:43
ara2_c3a6ea5e,Eluru,08/22/2025,No,Treatment,Stocking,Chaitanya,Verbal communication,,,Grow-out,1842.0,,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,1200.0,2500.0,150.0,,,,,,,,,1842,70000.0,1842.0,70000.0,0.0,,,,,,0,,,,,,,,,,Yes,09/17/2025 06:37
ara2_d0d5f943,Nellore,08/21/2025,No,Treatment,Harvest,Chaitanya,Verbal communication,,,Grow-out,0.0,,"Rohu (Labeo rohita), Catla (Catla catla)",,,,916.0,,,,,,,,,,,,,,,,,,,,,Planned harvest,2290,,0,,1,Sun dry the pond bottom and remove debris,,Yes,09/10/2025 05:49
ara2_2ae80458,Eluru,08/20/2025,No,Treatment,Harvest,Chaitanya,Verbal communication,,,Breed-out,0.0,,"Rohu (Labeo rohita), Catla (Catla catla)",,,,350.0,,,,,,,,,,,,,,,,,,,,,Planned harvest,,,0,,0,,28571 fishes were sold to other grow out farmer,Yes,09/23/2025 06:13
ara2_0677080b,Eluru,08/18/2025,No,Treatment,Harvest,Chaitanya,Verbal communication,,,Grow-out,0.0,,"Rohu (Labeo rohita), Catla (Catla catla)",,,,970.0,,,,,,,,,,,,,,,,,,,,,Planned harvest,30000,,0,,0,,,Yes,10/01/2025 03:58
ara2_8cf52ce5,Eluru,08/15/2025,No,Treatment,Stocking,Chaitanya,Verbal communication,,,Nursery,200000.0,,"Catla (Catla catla), Rohu (Labeo rohita)",9:1,20.0,100000.0,2.0,,,,,,,,,200000,200000.0,200000.0,200000.0,0.0,,,,,,0,,,,,,,,,,Yes,08/24/2025 04:04
ara2_fe1074da,Nellore,08/14/2025,No,Treatment,Stocking,Chaitanya,Verbal communication,,,Grow-out,2973.0,,Roopchand,10,1000.0,3000.0,150.0,,,,,,,,,2973,11000.0,2973.0,11000.0,0.0,,,,,,0,,,,,,,,,,Yes,09/10/2025 07:39
ara2_ee15e2a0,Nellore,08/14/2025,No,Treatment,Stocking,Chaitanya,Verbal communication,,,Grow-out,3044.0,,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,800.0,3750.0,300.0,,,,,,,,,3044,13000.0,3044.0,13000.0,0.0,,,,,,1,Sun dry the pond bottom and removed debris,,,,,,,,,Yes,09/10/2025 06:05
ara2_1d5dce9e,Eluru,08/13/2025,No,Treatment,Stocking,Chaitanya,Verbal communication,,,Breed-out,11667.0,,"Catla (Catla catla), Rohu (Labeo rohita)",9:1,250.0,12000.0,30.0,,,,,,,,,11667,35000.0,11667.0,35000.0,0.0,,,,,,0,,,,,,,,,,Yes,08/29/2025 05:42
ara2_6af7067d,Eluru,08/13/2025,No,Treatment,Harvest,Chaitanya,Verbal communication,,,Grow-out,0.0,,"Catla (Catla catla), Rohu (Labeo rohita)",,,,1400.0,,,,,,,,,,,,,,,,,,,,,Planned harvest,106000,,0,,0,,,Yes,08/22/2025 04:34
ara2_9ea43968,Eluru,08/12/2025,No,Treatment,Harvest,Chaitanya,Verbal communication,,,Grow-out,0.0,,"Rohu (Labeo rohita), Catla (Catla catla)",,,,1176.0,,,,,,,,,,,,,,,,,,,,,Planned harvest,40000,,0,,1,Sun drying the pond bottom and remove sludge,,Yes,09/23/2025 06:21
ara2_cb98926f,Eluru,08/11/2025,No,Treatment,Partial harvest,Chaitanya,Verbal communication,,,Rearing,35714.0,,"Rohu (Labeo rohita), Catla (Catla catla)",,,,200.0,,,,,,,,,,,,,,,,,,,,,Planned harvest,,,100000,,0,,75000 fishes were sold to other farmer,Yes,09/23/2025 07:11
ara2_09faa72c,Eluru,08/11/2025,No,Treatment,Harvest,Chaitanya,Verbal communication,,,Grow-out,0.0,,"Rohu (Labeo rohita), Catla (Catla catla)",,,,1300.0,,,,,,,,,,,,,,,,,,,,,Planned harvest,30000,,0,,1,Sun drying the pond bottom,,Yes,09/23/2025 06:25
ara2_626e23f2,Nellore,08/10/2025,No,Treatment,Stocking,Chaitanya,Verbal communication,,,Rearing,46512.0,,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,100.0,30000.0,5.0,,,,,,,,,46512,40000.0,46512.0,40000.0,0.0,,,,,,1,Sun dry the pond bottom and removed debris,,,,,,,,,Yes,09/10/2025 06:22
ara2_807df397,Eluru,08/10/2025,No,Treatment,Stocking,Chaitanya,Verbal communication,,,Breed-out,9167.0,,"Catla (Catla catla), Rohu (Labeo rohita)",9:1,200.0,15000.0,30.0,,,,,,,,,9167,165000.0,9167.0,165000.0,0.0,,,,,,0,,,,,,,,,,Yes,08/29/2025 05:59
ara2_32bcd752,Eluru,08/10/2025,No,Treatment,Stocking,Chaitanya,Verbal communication,,,Rearing,35714.0,,"Catla (Catla catla), Rohu (Labeo rohita)",9:1,80.0,37500.0,30.0,,,,,,,,,35714,100000.0,35714.0,100000.0,0.0,,,,,,0,,,,,,,,,,Yes,08/29/2025 05:50
ara2_8cf52ce5,Eluru,08/10/2025,No,Treatment,Harvest,Chaitanya,Verbal communication,,,Breed-out,0.0,,"Catla (Catla catla), Rohu (Labeo rohita)",,,,250.0,,,,,,,,,,,,,,,,,,,,,Planned harvest,,,0,,0,,16000 number of fishes sold to grow out farmers,Yes,08/24/2025 03:59
ara2_71f6e8db,Eluru,08/10/2025,No,Treatment,Stocking,Chaitanya,Verbal communication,,,Breed-out,1905.0,,"Catla (Catla catla), Rohu (Labeo rohita)",9:1,300.0,8500.0,62.0,,,,,,,,,1905,20000.0,1905.0,20000.0,0.0,,,,,,0,,,,,,,,,,Yes,08/22/2025 04:48
ara2_1fd0d0ae,Eluru,08/10/2025,No,Treatment,Harvest,Chaitanya,Verbal communication,,,Breed-out,0.0,,"Catla (Catla catla), Rohu (Labeo rohita)",,,,250.0,,,,,,,,,,,,,,,,,,,,,Planned harvest,,,55000,,1,Sun drying the pond bottom,,Yes,08/22/2025 04:27
ara2_65a854d9,Nellore,08/09/2025,No,Treatment,Harvest,Chaitanya,Verbal communication,,,Grow-out,0.0,,"Catla (Catla catla), Rohu (Labeo rohita)",,,,1080.0,,,,,,,,,,,,,,,,,,,,,Planned harvest,15200,,0,,0,,,Yes,09/10/2025 05:42
ara2_6bbd0878,Nellore,08/06/2025,No,Treatment,Stocking,Chaitanya,Verbal communication,,,Grow-out,1286.0,,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,1000.0,3000.0,400.0,,,,,,,,,1286,1350.0,1286.0,1350.0,0.0,,,,,,1,Sun dried the pond bottom and removed sludge,,,,,,,,,Yes,09/10/2025 07:49
ara2_573a2826,Eluru,08/06/2025,No,Treatment,Harvest,Chaitanya,Verbal communication,,,Breed-out,0.0,,"Catla (Catla catla), Rohu (Labeo rohita)",,,,300.0,,,,,,,,,,,,,,,,,,,,,Planned harvest,,,33000,,0,,,Yes,08/22/2025 04:42
ara2_b3d128ac,Eluru,08/06/2025,No,Treatment,Stocking,Chaitanya,Verbal communication,,,Grow-out,2227.0,,"Catla (Catla catla), Rohu (Labeo rohita)",9:1,1200.0,2500.0,316.0,,,,,,,,,2227,98000.0,2227.0,98000.0,0.0,,,,,,0,,,,,,,,,,Yes,08/19/2025 07:29
ara2_db4df335,Eluru,08/05/2025,No,Treatment,Harvest,Chaitanya,Verbal communication,,,Breed-out,0.0,,"Rohu (Labeo rohita), Catla (Catla catla)",,,,350.0,,,,,,,,,,,,,,,,,,,,,Planned harvest,,,0,,0,,28500 fishes were sold to other grow out farmer,Yes,09/23/2025 06:08
ara2_51ee6ab1,Nellore,08/03/2025,No,Treatment,Harvest,Chaitanya,Verbal communication,,,Grow-out,0.0,,"Catla (Catla catla), Rohu (Labeo rohita)",,,,913.0,,,,,,,,,,,,,,,,,,,,,Planned harvest,1370,,0,,0,,,Yes,09/10/2025 05:45
ara2_46acb0f4,Eluru,08/03/2025,No,Treatment,Harvest,Chaitanya,Verbal communication,,,Breed-out,0.0,,"Catla (Catla catla), Rohu (Labeo rohita)",,,,300.0,,,,,,,,,,,,,,,,,,,,,Planned harvest,,,0,,0,,Sold all 30000 fishes to a grow out farmer,Yes,08/29/2025 05:19
